image,sp,sr,orig_edges,ms_edges,jaccard,out_filtered,out_edges
cavalo.bmp,30,20,53249,46390,0.662367780039374,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr20_edges.png
cavalo.bmp,30,30,53249,26441,0.3605012462867484,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr30_edges.png
cavalo.bmp,30,40,53249,15859,0.21367731511564603,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr40_edges.png
indio.bmp,5,10,18663,17421,0.7619140625,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr10_edges.png
indio.bmp,5,20,18663,13633,0.5511262667499159,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr20_edges.png
indio.bmp,5,30,18663,9838,0.3852921162632449,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr30_edges.png
indio.bmp,5,40,18663,7005,0.27050438053754394,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp5_sr40_edges.png
indio.bmp,10,10,18663,17019,0.7408401229448212,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr10_edges.png
indio.bmp,10,20,18663,13571,0.5408958363210479,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr20_edges.png
indio.bmp,10,30,18663,9663,0.3719848881139204,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr30_edges.png
indio.bmp,10,40,18663,7080,0.2697543651968038,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp10_sr40_edges.png
indio.bmp,20,10,18663,17261,0.7406725457893206,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr10_edges.png
indio.bmp,20,20,18663,13500,0.5361799684768591,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr20_edges.png
indio.bmp,20,30,18663,9524,0.3548185532323961,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr30_edges.png
indio.bmp,20,40,18663,7116,0.2625006121749351,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp20_sr40_edges.png
indio.bmp,30,10,18663,17474,0.7509084742477833,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr10_edges.png
indio.bmp,30,20,18663,13570,0.5411427205355008,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr20_edges.png
indio.bmp,30,30,18663,9379,0.35298658689568657,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\indio\indio_ms_sp30_sr30_edges.png
